"","X","id","text","geo","description","likes","retweet_counts","lang","length"
"297",495,1575209565788184576,"RT @tito_mboweni: The day a central bank is bullied by their government, “.cry the beloved country”. Why is the UK government bullying the…","🌍Norton, Mashonaland West","When and wherever you see injustice, speak out! Embrace good and enduring values that outlive you!","1",9,"en",1
"298",496,1575209558980833280,"RT @adoomies3: When you get in a bb showmance expecting it to blow up postseason but it turns out to be with a racist who lasts 10 seconds…","BTS world","Just another human presiding on this earth waiting for SOMETHING to happen. An Apocalypse would be nice.

Also Beyonce is our leader. 😳🥺👉🏽👈🏽","1",35,"en",1
"299",498,1575209536050589696,"RT @1Schoolhouse: Homeschooling is so wild because it could be because you’re disabled
or got bullied a lot
or training for the Olympics
or…","Lakeland, FL","Comic geek, Eternal GM, Furry trash, gay, he/him, Gaming Director of @basementcon, Hopepunk is my aesthetic","1",131,"en",1
"300",500,1575209506006409216,"RT @chrisgreybrexit: It shows all the Brexiter pathologies (e.g. expert consensus = plot, scrutiny = sabotage, criticism = treachery) &amp; mos…","","","1",51,"en",1
"301",501,1575209448276381696,"RT @KatesPowerSuit: @LucyPip20032481 Many reporters say that they are often offered stories about the children at school. They all turn the…","Sacramento, CA","","1",9,"en",1
"302",503,1575209425622933504,"RT @loveosi: When you guys are done retweeting that Ulouma's babe thread make sure you retweet the story David did about Oge who they bulli…","","Financial analyst 🔑 |God first🙏🙏- Barcelona fan(king Messi)|Wizkid Fc |mecenary🛡/Marian 🦋","1",15,"en",1
"303",504,1575209418178048000,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Atl📍","FVSU Alum","1",424,"en",1
"304",507,1575209355188015104,"RT @Saltymick: I remember the joy when young Tony became PM. I also remember the shock, as a Union rep at my Job in FE, when he bullied thr…","Greater Manchester, ","Left Labour again.  Democratic Socialist (if there is such a thing). Retired Social Worker, Unison Shop Steward, Loves travel.  Aged 75 and pushing it.","1",15,"en",1
"305",510,1575209321432256512,"RT @friendrryy: Alyssa acting like she’s the one who got bullied lmao #bb24 https://t.co/qglZ6RK1Dd","Toronto","1404 SECONDS WHICH MEANS CONGRATULATIONS TAYLOR 

#BB24","1",27,"en",1
"306",511,1575209310233427968,"RT @ETimesTV: Karan Kundrra shares new pictures with ladylove Tejasswi Prakash, and writes “trust me she bullied me into it..!”
@kkundrra @…","","Because I like entertainment","1",363,"en",1
"307",513,1575209306525351936,"RT @MercyMuroki: I was bullied in school by other brown kids for 'not acting black'.

Why? Because I liked books, was studious, eloquent, a…","United Kingdom","No DM ☺️ thank you","1",817,"en",1
"308",514,1575209245569875968,"RT @ladiesceles: So dy bullied himself lol https://t.co/yVix9eyCEi","กรุงเทพมหานคร, ประเทศไทย","@weareoneEXO luhan kyungsoo minseok ✨ 💖@WayV_official 10vely🐱 | #hunhan #Allten","1",12,"en",1
"309",516,1575209194051211264,"RT @loveosi: When you guys are done retweeting that Ulouma's babe thread make sure you retweet the story David did about Oge who they bulli…","Lagos, Nigeria","Gemini ♊/ BTS lover 💜💜💜⚡⚡⚡⚽⚽⚽","1",15,"en",1
"310",517,1575209166431744000,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","JXN","green star ✳️ | #JSU18 Alumnus | ΦΒΣ | 4-AB-16 | Funky Horn '14 | Swag Van Noten @Callme_Asherr |","1",424,"en",1
"311",518,1575209155832713216,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","Ilorin, Nigeria","Introverted Muslimah 💕💅 Space Addict😁Movie Freak💋","1",348,"en",1
"312",519,1575209145812529152,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","","1,000,000+ dead of Covid. Black lives still matter. So do voting rights, women’s rights, LGBTQ rights. Prosecute 1/6. VOTE!","1",76,"en",1
"313",520,1575209133883944960,"RT @fentystin: Barbara Palvin said she was depressed after the harassment she had to face after being seen w Justin (he was single btw), So…","s¡h","What am I fiendin' cause I thought it was over ? @lonelyjournals","1",958,"en",1
"314",521,1575209092993273856,"RT @FlLMDORK: Them people really hated and bullied Taylor into massive success that’s crazy😭😭","","currently obsessed with bb24","1",54,"en",1
"315",522,1575209088832897024,"RT @GiriWaltz: @mmpadellan The media characterized it as ""playing outdoors"" - NO. This is not playing. He's cringing and crying. Probably t…","Hatch, NM","native Marylander - transplanted New Mexican - blowing winds only ruffle my hair, not my principles. #VotingRightsForThePeople! #MoreBlueIn2022! 🚫NO DMs🚫","1",5,"en",1
"316",523,1575209064573071360,"RT @friendrryy: Alyssa acting like she’s the one who got bullied lmao #bb24 https://t.co/qglZ6RK1Dd","","taylor & joseph! 💕   VOTE TAYLOR FOR AFP 💖⬇","1",27,"en",1
"317",524,1575208982284730368,"RT @friendrryy: Alyssa acting like she’s the one who got bullied lmao #bb24 https://t.co/qglZ6RK1Dd","","🏳Humanism 📌Laced with sarcasm 📌Not Big on Zealots 😒 📍RETWEETS📍","1",27,"en",1
"318",529,1575208883534319616,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Bagley, Detroit | Studio 54","WSU Alumnus - MarComm Pro - MusicLover - DiscoFiend - Chillin on Sugar Hill - In a Disco on the outskirts of Frisco - Pisces - Black Chuck Bass - IG:GQ_Down","1",424,"en",1
"319",530,1575208879960604672,"RT @CDCNPIN: LGBTQ+ youth are at an increased risk of being bullied.

As we prepare to observe Bullying Prevention Month in October, read u…","Dorchester, MA","Codman Square Health Center is an innovative community health center providing holistic & integrated services since 1979. #CHCsInnovate","1",2,"en",1
"320",531,1575208861677633536,"RT @CDCNPIN: LGBTQ+ youth are at an increased risk of being bullied.

As we prepare to observe Bullying Prevention Month in October, read u…","637 Washington St., Dorchester","Codman Square Health Center’s X-Clinic specializes in diagnosing, counseling & treating patients at risk for STIs. Call 617-822-8350. https://t.co/dJdUMCEyCq","1",2,"en",1
"321",533,1575208829398093824,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","","Poet
Spoken word
Melophile
Quote","1",348,"en",1
"322",534,1575208811811418112,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","Rwanda","God's first 💓 🙏
graphics designer& photographer 📸 💪 Whatsapp +250790321066🇨🇩🇨🇩🇨🇩🇷🇼🇷🇼   DAY 3
IG:bisolito_2030","1",348,"en",1
"323",535,1575208794581504000,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","Willis, Texas","It is not easy to be a liberal in Texas","1",76,"en",1
"324",536,1575208790982795264,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","NOT where the money resides ","She/Her | Panoramic babe | The Greatest Wingwoman Alive™️ | Head Misandrist in Charge😂| Business- calixsino@gmail.com","1",424,"en",1
"325",537,1575208770233171968,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","","she/her","1",424,"en",1
"326",538,1575208738151346176,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","","","1",76,"en",1
"327",540,1575208702722052096,"RT @TMackenzieH: @Rae_tvee @MJfactor @Nowbz It’s so tired, lame and lazy. Consenting adults did what consenting adults can do. Separately,…","","","1",594,"en",1
"328",541,1575208684627853312,"RT @loveosi: When you guys are done retweeting that Ulouma's babe thread make sure you retweet the story David did about Oge who they bulli…","None of your business","Honnêtement je m'en bats les couilles 🤷🏽‍","1",15,"en",1
"329",542,1575208666302595072,"RT @MercyMuroki: I was bullied in school by other brown kids for 'not acting black'.

Why? Because I liked books, was studious, eloquent, a…","Yorkshire, England.","From childhood's hour I have not been. As others were; I have not seen. As others saw; I could not bring. My passions from a common spring.
 - Edgar Allan Poe.","1",817,"en",1
"330",544,1575208659294228480,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","Victoria Island, Nigeria","Freelancer/Writer, Singer, Surveyor👷🏾‍♀️🇳🇬|Jesus Baby|, Firstflight Geng✌️","1",348,"en",1
"331",546,1575208658023378944,"RT @meshell_ray68: @TeamYouTube @YouTubeLegal @SusanWojcicki @Google this is just a grain of salt that #NatashaCooper puts up with, she has…","","","1",41,"en",1
"332",547,1575208636116508672,"RT @Suitandtie9999: Just two ago, Willie Jackson told Mike McRoberts..”It’s something I really rally against actually, people being told th…","Waikato Region, New Zealand","retired and enjoying life but so concerned with the changes happening in our country by such an inept and corrupt labour government.","1",14,"en",1
"333",549,1575208607653953536,"RT @1Schoolhouse: Homeschooling is so wild because it could be because you’re disabled
or got bullied a lot
or training for the Olympics
or…","Orlando, FL","Interpretative dancer, Dow Jones S&P Linear Regression Analysts, RPhT 💊 Vaccinator 💉","1",131,"en",1
"334",550,1575208603958407168,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","","@ChelseaFC and @RealMadrid fan since the 90's.
Road to 15K😏🔥
I choose Thigh-land over Nyash-inski🤗💯💙","1",348,"en",1
"335",551,1575208586350731264,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","","Story Teller || らᴍᴀʀᴛ  Electrician 

 Dm for  promotion Ads","1",348,"en",1
"336",552,1575208548489109504,"RT @dsephelle: The world must support Russia against NATO so that we can live in peace without being bullied by the Western imperialists. h…","Nigeria","I'm a gentleman 👏 | Architect 🏠 | Dog lover🐶 | Man utd ⚽ | Great Ife 🎓","1",551,"en",1
"337",553,1575208520609595392,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","Space","Your Mom🤰🏿(The definition of a G) Sacrificial Lamb☻ Ambassador for small accounts 💞💃🏿","1",348,"en",1
"338",555,1575208481937760256,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","boyfriend chest ","Teacher👩‍🏫 by profession 🧘‍♀Isaiah 60;22 🕊 “Always do your best. What you plant now, you will harvest later.”","1",348,"en",1
"339",556,1575208452158148608,"RT @M1KEYyG: @youhateithere Kobe was by far the most ruthless player besides MJ he bullied his teammates to get better masterful work","Los Angeles, CA","my conversation’s full of game yet laced with seductions","1",1,"en",1
"340",557,1575208445875081216,"RT @1Schoolhouse: Homeschooling is so wild because it could be because you’re disabled
or got bullied a lot
or training for the Olympics
or…","","$beautifulgojira","1",131,"en",1
"341",558,1575208439839870976,"RT @_Tayyx: Y’all bullied this woman for no reason.","","","1",1,"en",1
"342",559,1575208433376460800,"RT @CIwatch: @COVERGIRL
Why #MaymayEntrata ?

Youth who are bullied are at increased risk for Depression, Anxiety, Sleep difficulties, Lowe…","🌎 Out of this WORLD","We're Bloggers who POLL, Comment & Share views on the Hottest Love Teams & Celebs 🌎.  We will become the #1 Pollsters on Twitter someday.  Sip Sip 🍵!","1",1,"en",1
"343",560,1575208414585954304,"RT @6rTerrence: louis really showed up late (maybe high), said whatever the fuck he wanted, bullied zach into giving liam apology shoes, an…","i fucked you into oblivion ","Have Faith in the Future
💙💚/❤💛","1",499,"en",1
"344",561,1575208401063530496,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","Earth 🌍","This user is amazing ☺️","1",348,"en",1
"345",563,1575208370352844800,"RT @_whitneywebb: I was pregnant and gave birth while the vaccine rollout was happening and at every stage, including when my son was 2 mon…","Oak Bay, BC","partner, editor, curator

Pronoun: ""Your Grace"" (aristocratic or ecclesiastical - your call)","1",1520,"en",1
"346",564,1575208325779582976,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","Pluto🪐","Consistency is the key🔑💯 || Meme Lord || Pisces♓️|| @FCBarcelona💙❤️","1",348,"en",1
"347",565,1575208308490715136,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","World","No bio yet","1",348,"en",1
"348",566,1575208302237347840,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","Abuja, Nigeria","WELCOME TO MY WORLD 🦅💨
💥💥💥💥💥💥💥💥💥
- Certified Mind Readers
- Certified Predictors 
- Computer Wizard Association
- Legit Infor Only 
💭💭💭💭💭💭💭💭","1",348,"en",1
"349",567,1575208288819367936,"RT @MercyMuroki: I was bullied in school by other brown kids for 'not acting black'.

Why? Because I liked books, was studious, eloquent, a…","","Here in part to keep up with politics in the UK and the US but mostly just want to laugh at the hilarious comments. I don't reply to direct messages sorry.","1",817,"en",1
"350",568,1575208276236832768,"RT @thesixwriter: I like that we’re beginning to take more of a stand as young Ghanaians. We won’t be bullied with seniority or age. 

Do y…","Accra || Illinois","designer. artist. creative.
Darq Dojo Ronin.
Speaking with a belly full of thunder","1",166,"en",1
"351",569,1575208262680842240,"RT @steviexdavis: @BrugesGroup I want to see tougher Tories......been weak and easily bullied by the media for too long.","Bradford, England","","1",2,"en",1
"352",570,1575208261590347776,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","Lagos ","call for business","1",348,"en",1
"353",571,1575208256737116160,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","Zazzau","#ABUSITE🇳🇬 || Respect is Reciprocal👑 || Voice Of The Voiceless || Films lover 🎦 || Motivator || #SkyFamDrive #BAYERN_MUNICH🚁","1",348,"en",1
"354",572,1575208256611328000,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","","you can't wait until life isn't hard anymore before you decide to be happy.....💜💜","1",348,"en",1
"355",573,1575208218670043136,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","","Chelsea bae 💙 all the way //🥵 # the dimpled October Queen 👑💝 … Not gonna dim my light for anybody 😒","1",348,"en",1
"356",575,1575208179071434752,"RT @fajitagate: I don’t understand where this push is coming from for Taylor to accept every apology and allow the people who abused her an…","","🏳Humanism 📌Laced with sarcasm 📌Not Big on Zealots 😒 📍RETWEETS📍","1",9,"en",1
"357",576,1575208168090906624,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","Levitating ","|| soft ||  Retail therapy my new addiction 🎶  || Khalid ||💜Ayanda🇿🇦 ||","1",348,"en",1
"358",577,1575208163254489088,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","Everywhere","Muslim | JAVA 🔥 | PHP | App Developer 👨‍💻 | Nigerian 🇳🇬 | HALA MADRID ⚽ | DM for Ads and promos 💯💯","1",348,"en",1
"359",578,1575208160972853248,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","somewere in your mind👌","A Loner with the biggest dream!! Tykun of the World 🌎 🤝 I ®EP the F🅱F & FC🅱 ❤I’m the guy you shouldn’t fk wit💙very optimistic about☝person & my future only","1",348,"en",1
"360",579,1575208147127439360,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","Sep 3 ","Addicted Only To Success💋💄 #SpacesHost  Your plug 🔌 for LOB Groups dm.. #30BG Follow @ManOfHandsome To Boost Your Account 🔥","1",348,"en",1
"361",580,1575208146028572672,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","Soroti, Uganda","Kremlin triangle","1",348,"en",1
"362",581,1575208136570306560,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","Nigeria","Marketer🍀 at Nextpayday 
A team lead💪A business freak🤞 strategist, Music lover 📀 Straight talker😉❤️","1",348,"en",1
"363",582,1.575208135203e+18,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Cape Town, South Africa/ pta","🏳️‍🌈| a pansexual mythical creature. She/her. inst: @mist_princess","1",424,"en",1
"364",583,1575208127506526208,"RT @WonderMahlobo: Andile Mpisane is being cyber bullied because his mother is doing what we all wish to do for our children. Its envy","Bloemfontein ","God ❤️

The views expressed here are all for laughs.","1",14,"en",1
"365",585,1575208052105498624,"RT @MercyMuroki: I was bullied in school by other brown kids for 'not acting black'.

Why? Because I liked books, was studious, eloquent, a…","Monaco! Europe-EurUSA 🇲🇨🇬🇧","Ex English Ballerina. A Fine Art & Hotel investor. Levity & satire from a French/English Writer. Monaco my Home. A single bimbo & Race Horse Owner/Breeder🐎","1",817,"en",1
"366",587,1575208000780128256,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","","","1",76,"en",1
"367",588,1575207997906636800,"RT @6rTerrence: louis really showed up late (maybe high), said whatever the fuck he wanted, bullied zach into giving liam apology shoes, an…","","it’s been ages different stages, come so far from princess park ✨ 06/04/2022💚 no stunt larrie || she/they","1",499,"en",1
"368",591,1575207981943508992,"RT @RashmiDVS: A Sikh girl is being bullied and threatened with physical violence for showing solidarity with Hindus in the recent attacks…","India","Life isn't about finding yourself But, Life is about creating yourself. Follows WAY OF LIFE.  Supporter of #BJP yes i am #NaMo Bhakt.
 Plant more 🌲🌳🌴🇮🇳 🙏","1",993,"en",1
"369",592,1575207979573399552,"RT @SGomezNewsCOMs: Being a good person blows up in Selena’s face again. Imagine getting on a podcast lying that Selena watched you get hat…","","","1",68,"en",1
"370",593,1575207955405762560,"RT @ZoomTV: These adorable lovebirds have our hearts!! 😍 #KaranKundrra #TejasswPrakash

https://t.co/igPAVl9TNT","","I am  karan kudrra fan,tejaswi prakash fan,tejran fan and priyankit fan 
I am my self fan 🤣🤣🤣🤣","1",478,"en",1
"371",594,1575207936007503872,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","","#SDL REI. Giants - Nets - Yankees - Mercedes | These is just tweets my boy.","1",424,"en",1
"372",595,1575207935537709056,"RT @That1Dude054: #Ninjala OC Facts No. 23. 5:
Those girls that bullied Marin all those years ago would never have realize that, Marin woul…","Orlando, FL (but in a private ","Self-inspired artist🎨 Illustrator and 🎮gamer. Draw what I feel or at random.
💕29-years-old 💕
banner made by @Vinny83575390 

👉no reposting my artwork!!👈","1",1,"en",1
"373",597,1575207838229884928,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Black Lives Matter","Actress, future Oscar winner. Author of The Burned City, comic book nerd, and Kpop fan. Marvel finna cast me, they just don’t know it yet She/her","1",424,"en",1
"374",598,1575207818231435264,"RT @MercyMuroki: I was bullied in school by other brown kids for 'not acting black'.

Why? Because I liked books, was studious, eloquent, a…","The Home Counties (sadly)","""We are all visitors to this time, this place. We are just passing through........""","1",817,"en",1
"375",602,1575207782433062912,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","","happily engaged to the love of my life.","1",76,"en",1
"376",603,1575207776950706176,"RT @1Schoolhouse: Homeschooling is so wild because it could be because you’re disabled
or got bullied a lot
or training for the Olympics
or…","Maryland","","1",131,"en",1
"377",605,1575207755295911936,"RT @Ricardo_Gozinya: @RealDeanCain You should do a buddy cop movie with Kevin Sorbo. It could be about a pair of washed up actors going to…","Washington, USA","Seahawks fan.
#Democrat #BlueWave
#ONEV1  Z25","1",1,"en",1
"378",607,1575207737214267392,"RT @chrisgreybrexit: It shows all the Brexiter pathologies (e.g. expert consensus = plot, scrutiny = sabotage, criticism = treachery) &amp; mos…","","Online Privacy, Digital Civil Rights, Bits of Freedom, Newsjunkie, Knows where his towel is","1",51,"en",1
"379",611,1.575207700153e+18,"RT @MercyMuroki: I was bullied in school by other brown kids for 'not acting black'.

Why? Because I liked books, was studious, eloquent, a…","Warwickshire, United Kingdom","Coach * Connector * Educator * Futurist * Influencer * Strategist * Trainer - Here to help you to understand Generation Alpha & Social Business","1",817,"en",1
"380",612,1575207696231731200,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","Ohio, USA via NYC","From NYC. Pro Ukraine Pro Choice Pro Democracy
Garland critics berners & magats BLOCKED!!
NO DMs.
I FOLLOW BACK TRUE RESISTORS!!
INVENIAM VIAM AUT FACIAM!!!","1",76,"en",1
"381",614,1575207652199919616,"RT @anarasumanarraa: doyoung wasn't laughing when ten bullied him for years. if ten can't take a role play , then he doesn't deserve to get…","Thailand","Only for TEN 💜 Always TEN 李永钦🐱 💕10vely 🐱Louis🐱Leon #FREETEN 🌹","1",17,"en",1
"382",616,1575207592821141504,"RT @1Schoolhouse: Homeschooling is so wild because it could be because you’re disabled
or got bullied a lot
or training for the Olympics
or…","Cheeseland","100% Beef! 🐮🏳️‍⚧️they/them🏳️‍🌈 🔞NSFWish ❤️ @vivithecanine 💉T 6/10/22 🎨 banner @starsleeps 🎨 icon @crys_the_hybrid","1",131,"en",1
"383",617,1575207577998487552,"RT @Suitandtie9999: Just two ago, Willie Jackson told Mike McRoberts..”It’s something I really rally against actually, people being told th…","","","1",14,"en",1
"384",618,1575207522151153664,"RT @6rTerrence: louis really showed up late (maybe high), said whatever the fuck he wanted, bullied zach into giving liam apology shoes, an…","in louis' arms","||my yellow person~l♡uis||  (she/her)                                   

   {fetus & 2015 larry}
   ¿ mare fuori & un professore ? eddie munson ♡","1",499,"en",1
"385",620,1575207477502967808,"RT @hourlytacha: 3 years ago we were mocked, laughed at, bullied and spat on.

3 years later we are celebrating TACHA as the most talked ab…","","fun to vibe with
Tacha,Davido,crayon,fireboy and Justine bieber lover","1",77,"en",1
"386",621,1575207450659401728,"RT @1Schoolhouse: Homeschooling is so wild because it could be because you’re disabled
or got bullied a lot
or training for the Olympics
or…","","Meme curator, ticket concierge, overthinker extraordinaire. These are my opinions and do not reflect the opinions of my employer. RTs are not endorsements.","1",131,"en",1
"387",627,1575207287806783488,"RT @jaesukbiased: @exo_ninigommie this has been a constant thing in this fandom for a long time. everytime there's a content creator or jus…","","South African EXO-L 🇿🇦","1",1,"en",1
"388",628,1575207267762216960,"RT @_isssamo: yall bullied that girl on social media and then mad it attracted enough attention for someone to do a story on it? bffr. its…","","impulsively tweeting my thoughts","1",1,"en",1
"389",629,1575207256240824320,"RT @MercyMuroki: I was bullied in school by other brown kids for 'not acting black'.

Why? Because I liked books, was studious, eloquent, a…","Scotland","Christian Scotsman with healthy justified disdain for an SNP government and a rogue Tory admin under Boris wtf #Trump2024 can’t come too soon. gettr same","1",817,"en",1
"390",631,1575207236548571136,"RT @FlLMDORK: Them people really hated and bullied Taylor into massive success that’s crazy😭😭","he/him•they/them","based on a true story","1",54,"en",1
"391",632,1575207226561933312,"RT @_whitneywebb: I was pregnant and gave birth while the vaccine rollout was happening and at every stage, including when my son was 2 mon…","","'If liberty  means anything at all it means the right to tell people what they do not want to hear' G. Orwell.","1",1520,"en",1
"392",633,1575207220094312448,"RT @_whitneywebb: I was pregnant and gave birth while the vaccine rollout was happening and at every stage, including when my son was 2 mon…","Ohio, USA","#EndWars #ClimateChangeIsReal #FreeAssange #CommonSenseGunSafety #UBI #StandWithTulsi","1",1520,"en",1
"393",634,1575207175017807872,"RT @JuiceFreely: @GooseGoosingto1 @againstgrmrs There's this assumption that people being bullied for their orientation or skin color is SO…","Paedo Island 🇬🇧","https://t.co/7dBrEyB2dd","1",1,"en",1
"394",635,1575207168453681152,"RT @Mac2Morgan: This is Clara Loughran. tabloids claimed H&amp;M fired her when they left. This is a lie. Clara was with the Sussexes 2 weeks a…","","","1",577,"en",1
"395",636,1575207166302392320,"RT @Noorthevirgo: Im sorry I bullied you I was trying to flirt","# 🌟 bangtan ","— 𝗠𝗢𝗩𝗜𝗘𝗦 / 𝗡𝗔𝗠𝗝𝗢𝗢𝗡 𝗕𝗘𝗦𝗧 𝗕♡𝗬 ★ 🫧","1",19620,"en",1
"396",637,1575207160761700352,"RT @jonquin81721408: @loanchargeAPPG @Jesse_Norman @EstherMcVey1 

Bullied by HMRC - My story https://t.co/PkP2RkK7ap","","","1",270,"en",1
"397",641,1575206989743165440,"RT @_whitneywebb: I was pregnant and gave birth while the vaccine rollout was happening and at every stage, including when my son was 2 mon…","","Calling it like I see it. I respect positive, good-natured #deeb8. I'll respect your opinion, but mostly if you back it up! Any level.

@vmetu2 on GETTR","1",1520,"en",1
"398",643,1575206952590016512,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","","","1",424,"en",1
"399",645,1575206919828287488,"RT @emperortxj: ranwan secret dating where one day they overslept so they rush to their office putting on the first things they catch in th…","20+ | she/her","♡ cql, mdzs, 2ha, yuwu, animes","1",89,"en",1
"400",647,1575206868145750016,"RT @Penumbral__: The Vtuber thigh tier list - I swear chat bullied me into putting Numi first this was not my idea https://t.co/Agp4qwTasl","","Amateur Poet who's trying his best

Threateningly Asian
(26 and hating it)","1",264,"en",1
"401",653,1575206772264308736,"RT @hourlytacha: 3 years ago we were mocked, laughed at, bullied and spat on.

3 years later we are celebrating TACHA as the most talked ab…","Somewhere on planet ","Lover of music","1",77,"en",1
"402",655,1575206732619341824,"RT @lizzbag: I now work with a very large number of young men.  They keep letting themselves into the women's toilets, where I am vastly ou…","London N8","Eco-Socialist Feminist🌹 #ExtinctionCrisis 🐛  #BunnyHugger 🐰  #SexNotGender ♀️ https://t.co/5P4XTlOyra 💚  #ElectoralReform  #BLM  🇺🇦","1",119,"en",1
"403",656,1575206732581609472,"RT @archbalt: #TW We are providing free training in #MentalHealthFirstAid to all our affiliated institutions which covers #MentalIllness #S…","Olive Branch, MS","Self-Published Author & Hollywood Movie Producer","1",3,"en",1
"404",657,1575206729905627136,"RT @friendrryy: Alyssa acting like she’s the one who got bullied lmao #bb24 https://t.co/qglZ6RK1Dd","","","1",27,"en",1
"405",658,1575206697781673984,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","Japan","Order in Chaos","1",76,"en",1
"406",660,1575206652113846272,"RT @_whitneywebb: I was pregnant and gave birth while the vaccine rollout was happening and at every stage, including when my son was 2 mon…","","Western Canadian 🇨🇦🇺🇸; a different breed. Not looking for a woman or investment advice. globalists, we are coming for you 🎯","1",1520,"en",1
"407",661,1575206627774722048,"RT @vicky_moriarty: @MercyMuroki I'm sorry that you went through being bullied. You prevailed, look at what you are doing now. Where are yo…","","","1",1,"en",1
"408",663,1575206524238319616,"RT @cicerfics: @Netrixie Meanwhile, WWX is just playing dice with his lesbian jiejies and getting bullied by them. 😭","Skydiving into Itto’s badonkas","All I’m saying is that I’m 18+| Currently into Nu:Carnival| Gacha Enthusiast| Is NSFW retwt heavy. Be Warned| Feel free to block me if u see somethin uncomfy","1",2,"en",1
"409",665,1575206508253843456,"RT @thatsdax: Recording a rapper who’s getting bullied at school… #bullying https://t.co/LVJG1BRtlD","Canada,Uk and Ph_City","C.E.O at Playaz Circle, songwriter, artist and an entertainer. Rep #teammuso, #teamchaosusa and monte inc. instagram| @osemuso","1",313,"en",1
"410",669,1575206408819478528,"RT @_whitneywebb: I was pregnant and gave birth while the vaccine rollout was happening and at every stage, including when my son was 2 mon…","Colorado, USA","Catholic (TLM) ~ MAGA ~ WalkAway ~ WalkWith.  No porn!      No 🚫DMs🚫!!      Anti-Semites blocked.","1",1520,"en",1
